review,sentiment
"Қатып тұрады, 2 ай ғана болды ұстап жүргеніме",0
"Осынша ақшаға аласың, қуаттағыш жоқ, не құлаққап жоқ, бағасына сай емес",0
"Жаман телефон, бірақ қуаты көпке жетпейді",0
Интернет нашар жұмыс істейді.,0
"Тауар өте жақсы жағдайда келді, бәрі күшті.",1
"Телефон ұнады, айтқан уақытында жеткізілді. Каспиге рахмет",1
"Интернет жақсы ұстамайды, кейде ұялы деректер тіпті жоғалып кетеді, мұндай сәттерде қайта іске қосу қажет, бұл өте оңай.",0
"Олар бірден екі телефонды алды, күйеуі мен қызы. Өте қанағаттандым. Мүмкіндіктер өте ыңғайлы. Камера күшті",1
Керемет телефон. Ұнады.,1
"Мына телефонды алып едім. Тез әкеліп берді, алғысым шексіз көп рахмет",1
"Керемет жұмыс жасап тұр, ұнады өзіме",1
"Бәрі жақсы. Өкінбейсіңдер, бағасы да жақсы, қолжетімді.",1
Баға мен сапа қатынасы бойынша нарықтағы ең жақсы ұсыныстардың бірі,1
Зарядты ұзақ ұстайды. Камера тамаша. Қызықты ерекшеліктері бар,1
"Жылдам жеткізу, жақсы құрастыру, қолайлы жабдық",1
Телефон жұмыс істемейді,0
"Сигнал өте нашар ұсталады, бұл Интернетке қатысты нақты мәселе, жиі қайта жүктеуге тура келеді. Күйеуіме сыйлық ретінде сатып алдым. Он күннен кейін ол ескі телефонды қайтарып беруді өтінді.",0
Бағасы өнімнің сапасына сәйкес келмейді.,0
"Камера қорқынышты, сіз кадрлардың қалай секіретінін көре аласыз. Бірақ бағасы үшін бұл таңқаларлық емес. Қолданбалар мерзімді түрде бұзылады. Музыканың дыбыс деңгейі төмен. Мен ұсынбаймын",0
"Жаман телефон мен не айтамын, алмаңдар",0
Алуға кеңес бермеймін. Просто ужас. Зарядка 5 сағатта бітіп қалады. Алуға кеңес бермим. Тем более мен ютуб қарамадым. Соның өзінде зарядка өзімен өзі кетіп жатыр,0
Зарядкасы ұзаққа жетпейді,0
"Телефон жақсы, ұнады. Телефон жеңіл және әдемі. Мен сізге бұл телефонды ұсынамын.",1
Бірінші күні қалтамда болғандықтан экран жарылып қалды.,0
Мен бұл телефонды сатып алғаныма өте қуаныштымын.,1
"Бұл өте жетілдірілген және шынымен де Смарт телефон. Керемет қолданбалар, тамаша көрініс.",1
"Камерасы өте жақсы телефон, оны үйрену қиын емес. Керемет суреттерді түсіреді.",1
"Маған бұл телефон ұнамайды. Қалтамда басқа нәрсе бар еді, экран қорғағышы жарылып кетті.",0
Телефон керемет! Бұл мен күткендей жұмыс істейді.,1
Тұрақты қателер.,0
"Пайдалану оңай, дизайны ұнайды. Менің ойымша, тамаша..",1
"Тым көп ақаулар, ештеңе дұрыс жұмыс істемейді, батарея тез кетеді, онымен жұмыс істеу оңай емес, Bixby жұмыс істемейді",0
Мен бұл телефонды жек көремін. Батарея ешқашан жұмыс істемейді және зарядтау кезінде қатты қызады,0
Жаман емес. Мен оны ұсынбаймын,0
Өте нашар..Камера жұмыс істемеді,0
Дизайн керемет және маған оның салмағы ұнайды. 5 жұлдыз.,1
"Суретке түсіру үшін тамаша, жалпы тамаша телефон және маған ұнады",1
Мен бұл телефонды жақсы көремін. Бұл менің қажеттіліктеріме толығымен сәйкес келеді және өмірімді жеңілдетеді.,1
Бұл телефон өте керемет,1
"бұл жақсы өнім. жақсы телефон, ол өте жылдам, жеңіл, ақылды, қара, керемет телефон",1
өте сапасыз,0
Өтінемін сатып алмаңыз...,0
"Мен бұл телефонды бір деп бағаладым, себебі ол жаман істейді",0
Батарея мәселесі. Менің көңілім толмайды.,0
"Сыртқы түрі жарқын! Металл қабық, таза сыртқы түрі, жоғары жылдамдық",1
"Бұл өте жақсы бағаға сәйкес келеді, бірнеше күнде жеткізу рахмет",1
"Анама телефон алдым, әзірге ешқандай шағым жоқ.",1
бұл ең нашар ұялы телефон,0
"бағасы үшін тамаша телефон; қоңырау шалу сапасы жақсы, whatsapp facebook сияқты негізгі қолданбалар тамаша жұмыс істейді.",1
"Мен бұл ұялы телефонды бір ай бұрын әкелдім, өте керемет, мен көптеген қолданбалар мен ойындарды жүктеп алдым, жай маған бұл ұнайды. Қолайлы бағамен",1
"Мен біреуге қоңырау шалғанда, біртүрлі дыбыс шығып жатқанда мәселеге тап болдым. Батарея өте тез тозады",0
Маған бұл телефон қатты ұнайды. Оны пайдалану оңай,1
Керемет телефон!!! Жақсы және жаңа,1
"тамаша телефон, пайдалану оңай.кез келген жастағы тамаша телефон.кез келген адам үшін жақсы өлшем.",1
Тамаша өнім,1
"Мен бұл телефонды ешқашан ешкімге ұсынбаймын. Үнемі бұзылады, мен телефон қоңырауын ешқашан естімеймін.",0
Бұл телефонда ештеңе жоқ. Ешнәрсе өзгерген жоқ,0
"Телефон өте нашар, сенсорлық экран қате істейді. Бұл менде болған ең жаман тәжірибе.",0
Мен бұл телефонды тамыз айында алдым және жаңа телефон алуым керек !!!! Экранның жартысы жауапсыз және ол зарядталмайды,0
Бұл телефонды алмаңыз.,0
"телефон қатып қалады, қара экранға айналады",0
"Байланыс сапасы нашар. Мен ешқашан проблемаға тап болмаған жерлерде сигнал жоқ.
Хабарламаларды алу үшін жиі телефонымды қайта қосуға тура келеді. Неге екенін білмеймін. Бұл күрделі мәселе.
Жанындағы ноутбук сигнал алған кезде телефон маған Wi-Fi сигналы жоқ екенін айтады.",0
"Телефон ұнамады, онша емес",0
"Нашар, қатып қала береді",0
"Естілмейді, байланыс нашар, ойын ойнағанда қатады, сатып алмаңыз",0
"Қ.И.Сатбаев атындағы қазақ ұлттық техникалық зерттеу университеті, Қазақстан Республикасының дамыған озық 30 елдің қатарына қосылу үшін орасан зор ықпалын тигізіп, жастардың заманауи ғылыми жетістіктерді игеріп, инновациялық бағытта жұмыс жасауына, еліміздің еңртеңі мен келешегі үшін еңбек етуіне үлкен пайдасын тигізіп отырған ең озық, ең жоғары өредегі бірден бір университет.",1
Өте керемет өмірді көрсететін өмір мектебі!,1
"Бұл Алматыдағы ең жақсы университет шығар. Менеджмент қызықты реформалар жүргізіп, университетті студенттер үшін заманауи, тартымды және өзекті етуде. Дегенмен, техникалық мамандықтар әрқашан сұранысқа ие болады. Егер мен Қазақстанда абитуриент болсам, Политехникалық университетті таңдар едім!",1
"Оқу орынын қай жерде орналасқанын ешкім білмейді, оқытушылар да, студенттер де білмейді және институт директорлары білмейді, ғимаратта институт па, университет пе, нақты жазу жоқ, күзетшілер мүлде білмейді.",0
"Жақсы университет! Ұзақ уақыт болған. Ол біздің дәуіріміздің мың тоғыз жүз отыз төртінші жылы құрылған. Әрқашан білімді студенттерді бітірген немесе университетке түсушілерді қалай айту керек. Жақсы оқытушылар - доценттер, процессорлар және басқа ғылыми дәрежелері бар адамдар жұмыс жасайды. Мұнда кешке, жұмыстан кейін, егер бар болса магистратура бар. Қысқасы, білім алу оңай емес, бірақ ол мектептен кейін жақсы жұмыс табуға болады.",1
"4 курс, 4 жыл су және қажет емес білім. Босқа жүріп не керек- оқудан шағымын",0
Тым ескірген және қажеті жоқ білім.,0
Адамдар бұл университеттің мықты мұнай-газ инженері мектебі бар дейді,1
"Бұл университетке кірме. Гопников өлтіреді, тонап кетеді",0
"Үздік студенттер, сырты үлкен дәретхана сияқты көрінгенімен, ғимарат іші әдемі безендірілген",1
"IT мамандықтары бойынша үздік университет, кешіріңіз, жатақхана жоқ.",1
"Балам осы университетті бітірді, жақсы оқытушылар, университеттің өзінде жаман ештеңе жоқ ..! Жаман емес",1
"Мен 3 қойдым, өйткені мәдениет төмен",0
"Докторлық емтихандарды тапсырдық, дұрыс өткен сияқты болды, бірақ жемқор шенеуніктер басында отыр!",0
"Жексұрын университет, ең жаман. Сабақ жоқ. білім нөл. Шарашкина кеңсесі. Бұл университетке бармаңыз, әсіресе фин және басқару мамандықтарына.",0
"Тамаша университет. Мен өзім ЕТжәнеПҚ мамандығының IT факультетінің 2 курс студентімін және түскеніме ешқашан өкінген емеспін. Мұғалімдер мүмкіндігінше мәселеңізді шешіп, көмекке барады. Ал сабақтардың сапасы жоғары. Сондай-ақ жұмыспен қамту перспективасы да қамтамасыз етілген. Қызықты студенттік өмір сізді назардан тыс қалдырмайды",1
"Жақсы университет. Кем дегенде, бұл шамамен 5 жыл бұрын болған. Ағылшын тілінде лайықты білім. Ал негізгі проблемалар Қазақстан Республикасының бүкіл білім беру жүйесіндегідей.",1
"Бұл жақсы университет. Мен ол жақта бірінші курста болдым, сосын тастап кеттім . Мен мұнда келмес бұрын бағдарламалық жасақтама жасау туралы ештеңе білмедім, бір жылдың ішінде мен көп нәрсені білдім. Егер сіз бұл жерге барсаңыз, білімі жоғалтған уақытыңыға тұрарлық.""",1
Өте жаксы жер балам оқиды білім алып жатыр,1
Әл-Фараби атындағы Қазақ ұлттық университетіне биыл 85 жыл. Осы жыл ішінде университет талай белестерге жетті және әлемдік деңгейге шықты. Қазақ ұлттық университеті жастарға көптеген мүмкіншіліктер жасауда. Бұл университетте шетелден келген профессорлар сабақ береді.,1
Өте жақсы оқу орны !!! Магистратура оқу кезінде ешқандай қиындықтар болмады. Ұстаздар өте жоғары білімді!,1
Мен үшін ең сүйікті ғылым ордасы!,1
"Бүгін мен алғаш рет Қазақстан университетінде, дәлірек айтсақ, анам оқыған ҚазМУ-да болдым. Анамның жолын қуу керек шығар шетелде емес, осында оқу. Маған бұл жер өте ұнады, барлық кампустарда айтып жеткізу мүмкін емес таулар көрінеді. Мен докторантураға түсуім керек",1
"Қазақстандағы ең нашар университет, менің GPA төмен болды, GPA жоғарылату ережесі бар, бірақ олар мені бірден сәтсіздікке ұшыратып, мені бір жыл қайта оқуыма мәжбүр етті, бұған сенбе.",0
"Университет сияқты қабылдау комиссиясының жұмысы жолға қойылмаған, нол,  техникалық хатшылар адамдармен қалай жұмыс істеуді білмейді, және олар университеттің оқытушылары, мен олардың студенттерге қалай сабақ беретінін елестете де алмаймын. Қабылдау комиссиясының төрағасы сағат 12.00-ге келіп, өтініш берушілердің көп болғанымен, жиналыс өткізуді ұйғарды. Тек менің қызымның арқасында біз осы университетті таңдадық, сондықтан ол жаққа бармаймыз, неге елде тәртіпсіздік бар",0
"Бір жылдан кейін магистр дәрежесін алғыңыз келе ме? 2 000 000 теңге төлеңіз, оған + 300 000 сабақ айырмашылығы бар, ол жерде сіз жануар сияқты қараласыз! Практика басталған кезде келісімшарт жасалмады, әдеттегі университеттерде олар практикадан бір ай бұрын береді! Нәтижесінде олар бұл келісімшартты қателіктермен жасады, ал практика күнделігі - бұл жай нәрсе! Көптеген қателіктер !!! Ал тренингтің соңында бұл КККОМБО болды, диссертациялар қорғауға 2 апта қалғанда тақырып өзгерді (бұл біздің емес, сіздердің проблемаларыңыз деді) Жалпы, магистратурада басқа жерде, тіпті 3 есе арзан оқыған дұрыс! Ал парақорлық бұрыннан бар!",0
"Бұл көп жағынан республикадағы ең үздік университет екені даусыз. Менің Алма материгім. Контингент әр түрлі, бірақ сапа саннан өседі",1
"Бұл ең нашар университет, оқығысы келетіндердің өімірін бұзбаңыз,болашағыңызға балта шаппаңыз",0
"Адам төзгісіз көзқарас. Кіре берісте питбулл атты әйел тұр. Маска немесе ашық қосымшасы үшін өлтіруге дайын. Олар студенттерге айқайлауға үйреніп қалғанмын. Қорқынышты. Біліктілікті арттыру курстарына келдік, ол бізді өлтіре жаздады. Бейшара студенттер күнде осылай өтеді. Мен баламды осында оқуға бермес едім. Кіру олар аудиторияда қандай болса? Жалпы, бәрі теріс.",0
Жазда ақша жасау үшін әдейілеп студенттерді құлату,0
"Мен 2 сағат күттім дайындалған құжатты алу үшін, мен қызметкерлердің қалай жұмыс істейтінін, не істеп жатқанын түсінбеймін. Адаммен қарым қатынас дұрыс емес",0
Бұл оқу орны жыл сайын дамып келеді. Оның болашағы бар.,1
Өте жақсы!,1
Жаман,0
Өте жағымды зерттеу,1
Элиталық орын,1
Керемет жер,1
Онша емес,0
Нашар университет,0
Ит байласа тұрмайтын жер,0
Бұл университетке қайтып келмеспін,0
Атын естісем жүрегім айниды,0
Қуанатындай университет,1
"Абай атындағы ҚазҰПУ  2005 жылғы түлегі едік...қайран алтын уақыт,студенттік өмір өзегі бір ғани бет. Енді міне 15жылдай өтіпті осы білім ордасын бітіргенімізге.Жоғарғы білім ордасына айтарым асқақтай берсін, тек алғыс",1
"Біз «Шапағат» студенттерге қызмет көрсету орталығынан кеңес алуға бардық. Онда Карина есімді бойжеткен өзінің деректерін (телефон нөмірі мен ЖСН) айтуды талап етеді, себебін сұрағанда, ол шынымен жауап бере алмады, ол қажет екенін айтты. Ол барлық деректерді компьютерге енгізгеннен кейін мен басқа ауруханаға ауыстырылғаным туралы хабарлама алдым. Бұл қалай болды? Неге менің білуімсіз және келісімімсіз? Байланыс орталығына қоңырау шалсаңыз, телефонды ешкім көтермейді, ал қоңырау келсе, тастайды. Жеке деректерді беру кезінде сақ болыңыз.",0
"Мен болған ең нашар қабылдау бөлімі. Ұйымдағы өте жиіркенішті қызметкерлер. Қоңырауларға жауап берілмейді, сізге не үшін байланыс орталығы қажет? Қоңырау түскен кезде олар оны тастайды.",0
"Біткен, нашар университет, қарапайым құжаттарды жинау тез жұмыс жасамайды, «Шапағат» ұйымы - бұл бөлек тақырып, мен сізге кеңес бермеймін!",0
Әділетсіздік бәрінен жоғары,0
"Адамгершілік жоқ, олар студенттерді қалай тез және көп ақша жинау керектігін ойлайды",0
"Құрметті әкімшілік, сіздің сайт лицензиясы жоқ, сайтқа кіруге МҮМКІН емес",0
Жақсы университет. Жақсы жерде.,1
Мұғалімдер білімсіз,0
Қазақстандағы педагогикалық жоғары оқу орындарының ішінде бірінші орында,1
Қызметкерлердің қызметі қорқынышты,0
"барлығы толқтап қалған, түк жоқ",0
"Мұғалімдердің зейнетке шығу жасы қаралған дұрыс.Ұрпағыңа апат жасама.Жасы келген сайын көз көруден,құлақ естуден қалады.Өкпесін сүйретіп жүріп жасы келген адам қалай сабақ береді.Мұғалімнің мәртебесін көтерем десең оқушыға мазақ.күлкі қылмай абыроймен ақыл-есі бүтін,қайраты бар кезде зейнеткерлікке жібер.Атағыңа да ,ақшаңа да рақмет.Абыроймен ,»ұстаз деген ұлағатты есімді»қастерлеп сөзіңді мыжымай,қалтаңдамай мектептен кеткенге не жетсін!55 жасты қолдаймын",1
Мұғалім мәртебесін көтеру өте орынды.,1
"Қайырлы күн ! Сіздің университетте неге бақылау жоқ? Неліктен мұғалімдерге жұмысқа келмеуге рұқсат береді? Студенттерге деген мұндай көзқарасты бірінші рет кездестіруім, балам оқуға деген ынтасын жоғалтып алды,  бір сабақ 9:00, екіншісі 17:00!Бұл мазақтау ма? Сіз студенттерді оқытасыздар ма? Бұлай жалғаса берсе Білім министрлігіне жазамын!",0
атында коммерциялық емес деп көрсетілген. Ішіне кірсең коммерция.,0
ақшадан басқа ештеме білмейді,0
бассыздықтан басқа ештеме жоқ,0
"Ешқандай техникалық құрал-жабдықтар жоқ, ескі парталар мен аудиториялар, деканның, оның орынбасарының, содан кейін орынбасарының қолы қойылған бір топ қағазға толы кабинеттер, т.б. Студенттерге адами көзқарастың болмауы, оларды жеке тұлға ретінде қабылдау. «Профессорлардың» көпшілігі басына тәж киіп отырады, бірақ сонымен бірге ағылшын тілінде олар тек «How are you?» деген сөйлемді айта алады. Бұрын осында жазғанымыздай, өз ісін білетін нағыз ұстаздар саусақпен санарлық, ал сыбайлас жемқорлықтың өркендеп жатқаны туралы үндемей қалуға болады. Адамдық қорлаудың барлық рахатын сезінгіңіз келсе, мен сізге осында келуге кеңес беремін.",0
"Мен ақпараттық технологиялар факультетінде оқимын, ол мүлде ондай емес. Жабдық жоқ, бар компьютерлер жұмыс істемейді. Бұл минимум, өзіңіздің ноутбуктеріңіз/компьютерлеріңіз болғаны жақсы. Ал енді сөзге келейік, ұстаздардың біліктілігі ең төмен, 3 жыл оқуда өз пәнін шын білетін, түсіндіре алатын ұстаздардың саусақпен санарлықтаймын. Кафедра, деканат, ректорат студенттерге қызықпайды, студенттерге, олардың пікіріне мүлдем мән бермейді. Ешкім сізді қызықтырмауын, сіздің пікіріңіз мүлдем ескерілмесін, сізді ең төменгі баға деп санағаныңызды қаласаңыз, осында келіңіз. Бұрынғы ҚазҰУ-дың алған беделі, беделі көз алдымызда жойылып жатыр, оған біз, қазір білім алып жатқан студенттер дәлел. Білікті мамандар мен оқытушыларды алғысы келетін жоғары оқу орындары бар, соған барыңыз. Ешкімге мұнда келуге кеңес бермеймін. Мен адамның өмірі осылай бұзылып, жүйкесі тозғанын қаламаймын. Бұл университетте білім сапасы төмен (бірақ орыс топтарына бағдарламалаудан сабақ беретін мұғалімдердің білім деңгейін ескерсек, не орыс тілін, не ағылшын тілін білмей-ақ), емтиханның қалай өтетінін осында білетін боларсыз. Білімнің сапасы сай болса, түсінікті болар еді, қарғыс атсын, олай емес.",0
"Бұл Универдің жемқор екенін баяғыдан бері айтып келеді, олар сессияда әдейі сәтсіздікке ұшыратады. студенттерге дөрекі қарым-қатынас. Мен кедей отбасынанмын, өз бетімше грантқа түстім, (ата-анам басқа қалада асырау оңай емес, әлі мектеп оқушылары бар) Түнде ұйықтамадым (2-3 сағат ұйықтадым күніне). Барлығы дерлік сабаққа зомби сияқты келеді, жолда ұйықтайды, өйткені олар түні бойы дайындалып, энергетикалық сусынішеді, енді сессия да келді. біз ұйқыны ұмыттық, біз бір-бірімізді қолдаймыз, ал сізде адамдардың 70-90% емтиханда сәтсіздікке ұшырайды, екінші сессияда сіз параллельді қуып жетуіңіз керек. , бірақ 80 000 тенге төлеу керек біз атағандай -барлық стипендияны семестрге қайтарыңыз, ағымнан бір-екі адам болса түсінемін, бірақ 70% көп, ата-анама қалай айта аламын ? Бірақ олардың саны көп, қалай қуып жіберсе де, шағымданудан қорқады. Университет неге қорықпайды? Неліктен олар сынақтан өтіп, жазаланбайды? Сондықтан қайда бару керектігін ойлаңыз.",0
"Бұл университет білімі Қазақстандағы ең нашар және аты ең жақсы жарнамаланған университет деп есептеймін. Инфрақұрылымы жағынан басқа заманауи университеттерден қалып қойғанын байқауға болады, азық-түлік сататын автоматтар, кейбір факультеттерде дәретханалар жоқ, тек толық антисанитариялық жағдай. Сондай-ақ, университетте қызық студенттік өмір жоқ, ең көбі Наурыз, содан кейін студенттер үшін емес, әкімшілік үшін өте қызықсыз және көңілсіз орын екені анық. Әулие Валентин күні, Жаңа жыл, т.б мерекелер жоқ, бірақ Тұран, Кимеп және басқа университеттерде бар!Сондай-ақ кейбір факультеттердегі және әкімшіліктің жекелеген бөліктеріндегі университеттің иерархиясын атап өткен жөн. Бұл жерде студенттің құқығы жоқ, сондықтан ол қоғамның қорғалатын бөлігі емес. Білімге келетін болсақ, бұл орташа және студенттер мен олардың ата-аналары төлейтін бір тиынға тұрмайды. Ендеше, бұл университет өзінің рейтингін анық қуып келеді, оны студенттердің ешқайсысы мойындамайды, тіпті ертең сауалнама жүргізілсе де, студенттердің көпшілігі Қазақстанның ең жақсы университеті туралы шындықты жазады. Бұл университет өзінің посткеңестік ережелерімен өмір сүретіні анық, олар қазірдің өзінде ескірген, сондықтан егер сіз грант болмасаңыз, мен сізге бір кездері ұлы университеттің бұл көлеңкесіне кіруге кеңес бермеймін!",0
"Тек 3 оң пікір шынайы жазылғанын ескеріңіз, ал қалғандарының барлығы 2019 жылдың 9 шілдесінен 13 шілдесіне дейін тез жазылған. Теріс пікірлер көп, грантқа түскісі келетіндерге жүз рет ойлануға кеңес беремін. 1. Деканаттың және жалпы барлық жоғарыдағылардың дөрекілігі, кез келген мәселені қозғауға болмайды, өйткені олар үшін студент адам емес 2. Жиіркенішті жатақханалар, жай ғана жабуға болатын коменданттардың озбырлығы. қалаған кезде душ қабылдау, сонымен қатар студенттерді душ жууға мәжбүрлеу , санитарлық нормаларға мүлдем сәйкес келмесе де 3. Материалдық-техникалық базаның жоқтығы, бізде зертханалық зерттеулер жоқ, өйткені қарапайым жабдықтар жоқ 4. Орталықтандырылған жүйе емес. , әкімшілік бір айтады, деканат басқа дейді, бірақ студенттерге хабарлауды ұмытып кетеді. әрине, артықшылықтар бар. мысалы, өз ісінің шебері тамаша мұғалімдер бірақ барлығы емес",0
"Құрметті талапкерлер, нақтырақ айтқанда шетел азаматтары! Әңгіменің басын айтайын, бұл жерде тарақандары бар қорқынышты жатақхана бар, олар ордер алғанша уақытша баспана берді: жарық жоқ, кір, шаң, тарақан барлық жерде. Бұл ғана емес, қызметкерлердің дөрекі қарым-қатынасы.",0
"Мен бұл оқу мекемеге түсудң ұсынбаймын. Біздің отбасымызда бүкіл әлетіміз осы бағытта оқиды және оқып оқып жатқындар бар, тек бұл Академиядан аулақ. Бұл жерде сыбайлас жемқорлық қорынышты түрде, сессияны ақшанмен тапсыру керек, не дипломдық жұмысты жазу керек кезде, бір қадам аттаса ақша сұрайды, сонын ішінде Дүйсеналиева Т деген бар. Ол жол жөндеу бөлімінде мұгалім, сауатсыз жәнеде принципсіз пара алушы.",0
"Университет қорқынышты, мұғалімдермен байланысы жоқ, бәрі кездейсоқ, ақшаны жұлып алу үшін.",0
"Өзбектерді алды, университет сасық. Мәмбеттер көп, студенттерге лифтке отыруға тыйым салынды, күзетшілер менмен және өздеріне көп мүмкіндік береді. Сіз классикалық шортпен жүре алмайсыз, (спорттық емес колготка) да тыйым салынады, егер сіз кисеңіз, олар сізді университетке жібермейді.",0
"Тек вампирлер, бұлай етпеңдер! Олар менің барлық қанымды ішіп алды. Мен алдын ала шолуларға назар аудармағаныма өкінемін.",0
